sid,elastic,yield,phase_ratio_dict,ds
Co8.50Mo5.35Ti2.20,1.28E+11,914229858.7,"{""martensite"": 0.6346876207983154, ""Fe2Mo"": 0.0929913963539995, ""austenite"": 0.1673570614988425, ""gamma_phase"": 0.008486222307906527, ""Ni3Ti"": 0.0964776990409361}",20250304
Co8.50Mo5.35Ti3.00,1.47E+11,1056203304,"{""martensite"": 0.6695319072716216, ""Fe2Mo"": 0.09485762555327533, ""austenite"": 0.09055291763756577, ""gamma_phase"": 0.01545846053013115, ""Ni3Ti"": 0.1295990890074063}",20250304
Co8.50Mo5.30Ti2.40,1.34E+11,937336660.2,"{""martensite"": 0.6443148696073945, ""Fe2Mo"": 0.09245474266951328, ""austenite"": 0.1482490275186334, ""gamma_phase"": 0.01019732823566598, ""Ni3Ti"": 0.1047840319687929}",20250304
Co8.50Mo5.05Ti2.20,1.26E+11,892088038.9,"{""martensite"": 0.6406271924623125, ""Fe2Mo"": 0.08698933221854442, ""austenite"": 0.1675311391310722, ""gamma_phase"": 0.008347460917874848, ""Ni3Ti"": 0.09650487527019606}",20250304
Co8.50Mo5.10Ti0.80,93704329098,661927968.8,"{""martensite"": 0.581105260780675, ""Fe2Mo"": 0.08474855548767149, ""austenite"": 0.298581517595806, ""Ni3Ti"": 0.03556466613584737}",20250304
Co8.50Mo5.10Ti2.20,1.25E+11,874827368.9,"{""martensite"": 0.6396376719428714, ""Fe2Mo"": 0.08798896419175394, ""austenite"": 0.1675025086347297, ""gamma_phase"": 0.008370573626226415, ""Ni3Ti"": 0.09650028160441847}",20250304
Co8.50Mo5.15Ti3.00,1.55E+11,1072059085,"{""martensite"": 0.6735470136753194, ""Fe2Mo"": 0.0908652671513268, ""austenite"": 0.09062476703464285, ""gamma_phase"": 0.01537193616197551, ""Ni3Ti"": 0.1295910159767353}",20250304
Co8.50Mo5.50Ti2.20,1.29E+11,916360592.2,"{""martensite"": 0.6317156335480445, ""Fe2Mo"": 0.09599627769142964, ""austenite"": 0.1672679493894135, ""gamma_phase"": 0.008555681837531921, ""Ni3Ti"": 0.09646445753358054}",20250304
Co8.50Mo5.45Ti1.40,1.08E+11,778206242.4,"{""martensite"": 0.5987202401223105, ""Fe2Mo"": 0.09316327114450923, ""austenite"": 0.243366311267234, ""gamma_phase"": 0.0016660293066965, ""Ni3Ti"": 0.06308414815924986}",20250304
Co8.50Mo5.25Ti1.00,89088784800,633694382.6,"{""martensite"": 0.5862161375686167, ""Fe2Mo"": 0.08822706982968048, ""austenite"": 0.2804375307349206, ""Ni3Ti"": 0.04511926186678225}",20250304
Co8.50Mo4.95Ti2.60,1.36E+11,951259883.8,"{""martensite"": 0.6599797295146566, ""Fe2Mo"": 0.08593050189648077, ""austenite"": 0.1292289471283594, ""gamma_phase"": 0.01178144204446161, ""Ni3Ti"": 0.1130793794160417}",20250304
Co8.50Mo5.15Ti2.00,1.18E+11,848513483.3,"{""martensite"": 0.6300522215297478, ""Fe2Mo"": 0.08852442229280454, ""austenite"": 0.1865755638186637, ""gamma_phase"": 0.006664512849417707, ""Ni3Ti"": 0.08818327950936615}",20250304
Co8.50Mo5.10Ti2.60,1.34E+11,943696490.9,"{""martensite"": 0.6569910183311704, ""Fe2Mo"": 0.08892473338242174, ""austenite"": 0.1291604500576462, ""gamma_phase"": 0.01184844571933475, ""Ni3Ti"": 0.113075352509427}",20250304
Co8.50Mo5.45Ti1.20,94938367924,691440461.9,"{""martensite"": 0.5903589490234858, ""Fe2Mo"": 0.09271001290269684, ""austenite"": 0.2622554846331739, ""Ni3Ti"": 0.05467555344064341}",20250304
Co8.50Mo5.00Ti2.60,1.44E+11,1003605143,"{""martensite"": 0.6589836723631132, ""Fe2Mo"": 0.08692829582462205, ""austenite"": 0.1292062487596375, ""gamma_phase"": 0.01180377589257515, ""Ni3Ti"": 0.1130780071600522}",20250304
Co8.50Mo5.50Ti0.80,88303342604,630983486.3,"{""martensite"": 0.5733554956965147, ""Fe2Mo"": 0.09279394988731696, ""austenite"": 0.2982749246500361, ""Ni3Ti"": 0.03557562976613221}",20250304
Co8.50Mo5.15Ti2.20,1.24E+11,875419535.2,"{""martensite"": 0.6386479881015722, ""Fe2Mo"": 0.08898888082943192, ""austenite"": 0.1674737254624117, ""gamma_phase"": 0.008393691929746611, ""Ni3Ti"": 0.09649571367683762}",20250304
Co8.50Mo5.10Ti1.60,1.17E+11,837760162.9,"{""martensite"": 0.6139945441210137, ""Fe2Mo"": 0.08659925904677596, ""austenite"": 0.2246840167207124, ""gamma_phase"": 0.003201093498172998, ""Ni3Ti"": 0.07152108661332506}",20250304
Co8.50Mo5.10Ti1.80,1.13E+11,808633125.8,"{""martensite"": 0.6224906706227025, ""Fe2Mo"": 0.0870606287159, ""austenite"": 0.2056677861799441, ""gamma_phase"": 0.004917767369767387, ""Ni3Ti"": 0.07986314711168616}",20250304
Co8.50Mo5.20Ti1.80,1.07E+11,772566875.5,"{""martensite"": 0.6205253861935883, ""Fe2Mo"": 0.08906331709123437, ""austenite"": 0.2055982222419065, ""gamma_phase"": 0.00496575374878051, ""Ni3Ti"": 0.07984732072449019}",20250304
Co8.50Mo5.35Ti0.80,85233526351,608552407.2,"{""martensite"": 0.576262516908922, ""Fe2Mo"": 0.08977475444066402, ""austenite"": 0.2983914070736935, ""Ni3Ti"": 0.03557132157672042}",20250304
Co8.50Mo4.95Ti1.00,94215290948,664860429.7,"{""martensite"": 0.5920486682921112, ""Fe2Mo"": 0.08220405811355141, ""austenite"": 0.280644081032331, ""Ni3Ti"": 0.04510319256200629}",20250304
Co8.50Mo5.35Ti1.00,93759649868,675410123.4,"{""martensite"": 0.5842709898580611, ""Fe2Mo"": 0.09023704905314947, ""austenite"": 0.2803671286752334, ""Ni3Ti"": 0.04512483241355596}",20250304
Co8.50Mo5.15Ti2.40,1.38E+11,963379844.3,"{""martensite"": 0.6472953992055347, ""Fe2Mo"": 0.0894552010803467, ""austenite"": 0.1483276258449243, ""gamma_phase"": 0.01012915990105761, ""Ni3Ti"": 0.1047926139681367}",20250304
Co8.50Mo4.90Ti2.20,1.34E+11,938726919.7,"{""martensite"": 0.6435947734385518, ""Fe2Mo"": 0.0839921431249042, ""austenite"": 0.1676161168289824, ""gamma_phase"": 0.008278155766917551, ""Ni3Ti"": 0.09651881084064405}",20250304
Co8.50Mo5.05Ti1.20,94924834849,694399107.3,"{""martensite"": 0.5981691590555409, ""Fe2Mo"": 0.08467784201004164, ""austenite"": 0.2625107894087413, ""Ni3Ti"": 0.05464220952567619}",20250304
Co8.50Mo5.20Ti2.20,1.21E+11,869984929.5,"{""martensite"": 0.6376581410027928, ""Fe2Mo"": 0.08998908224791213, ""austenite"": 0.1674447893881456, ""gamma_phase"": 0.008416815888741692, ""Ni3Ti"": 0.09649117147240777}",20250304
Co8.50Mo5.25Ti3.00,1.53E+11,1060654172,"{""martensite"": 0.6715398539457476, ""Fe2Mo"": 0.0928608813168676, ""austenite"": 0.09058907450668899, ""gamma_phase"": 0.01541520583840023, ""Ni3Ti"": 0.1295949843922957}",20250304
Co8.50Mo5.35Ti1.60,1.15E+11,825260713.6,"{""martensite"": 0.6090984360479, ""Fe2Mo"": 0.09161136476818421, ""austenite"": 0.2244935590591473, ""gamma_phase"": 0.003323504687423942, ""Ni3Ti"": 0.0714731354373445}",20250304
Co8.50Mo5.45Ti0.80,87254829147,622576119.8,"{""martensite"": 0.5743246172782878, ""Fe2Mo"": 0.09178726145125483, ""austenite"": 0.2983139538613633, ""Ni3Ti"": 0.03557416740909419}",20250304
Co8.50Mo5.05Ti1.40,1.04E+11,729808880,"{""martensite"": 0.6065250789331575, ""Fe2Mo"": 0.08513754804895222, ""austenite"": 0.2436966083535967, ""gamma_phase"": 0.001466147287426617, ""Ni3Ti"": 0.06317461737686696}",20250304
Co8.50Mo4.90Ti1.00,91870203622,663419212,"{""martensite"": 0.5930203316196664, ""Fe2Mo"": 0.0812012316238186, ""austenite"": 0.28067782898483, ""Ni3Ti"": 0.04510060777168503}",20250304
Co8.50Mo4.90Ti0.80,96421471333,682823113.2,"{""martensite"": 0.5849773913527162, ""Fe2Mo"": 0.08073280179814218, ""austenite"": 0.2987299942570094, ""Ni3Ti"": 0.03555981259213217}",20250304
Co8.50Mo4.95Ti1.20,1.09E+11,772859671.9,"{""martensite"": 0.600120428513881, ""Fe2Mo"": 0.08267267657062924, ""austenite"": 0.2625727481081102, ""Ni3Ti"": 0.05463414680737953}",20250304
Co8.50Mo5.15Ti1.20,97530655779,688069117.1,"{""martensite"": 0.5962173760473007, ""Fe2Mo"": 0.08668415743269794, ""austenite"": 0.2624480851696939, ""Ni3Ti"": 0.05465038135030746}",20250304
Co8.50Mo5.10Ti1.40,1.10E+11,776787104.8,"{""martensite"": 0.6055499365045923, ""Fe2Mo"": 0.08613975753455087, ""austenite"": 0.2436559795143336, ""gamma_phase"": 0.0014910762280526, ""Ni3Ti"": 0.06316325021847052}",20250304
Co8.50Mo5.05Ti0.80,1.04E+11,745392404.6,"{""martensite"": 0.5820734655669381, ""Fe2Mo"": 0.08374418363485671, ""austenite"": 0.298618937215574, ""Ni3Ti"": 0.03556341358263131}",20250304
Co8.50Mo5.45Ti1.80,1.13E+11,823751980.5,"{""martensite"": 0.6156095987906953, ""Fe2Mo"": 0.09407504774315475, ""austenite"": 0.2054213165866859, ""gamma_phase"": 0.005085910133255567, ""Ni3Ti"": 0.07980812674620841}",20250304
Co8.50Mo5.30Ti1.00,91619872009,662430871.7,"{""martensite"": 0.5852436243466103, ""Fe2Mo"": 0.08923191501272587, ""austenite"": 0.2804024269095517, ""Ni3Ti"": 0.04512203373111207}",20250304
Co8.50Mo5.40Ti1.00,1.02E+11,735239814.7,"{""martensite"": 0.5832982341363633, ""Fe2Mo"": 0.09124247206954363, ""austenite"": 0.2803316358571236, ""Ni3Ti"": 0.04512765793696946}",20250304
Co8.50Mo4.95Ti0.80,90658885086,633497608.2,"{""martensite"": 0.5840095308884942, ""Fe2Mo"": 0.08173630690945514, ""austenite"": 0.2986931753687115, ""Ni3Ti"": 0.03556098683333927}",20250304
Co8.50Mo5.45Ti2.00,1.15E+11,826742119,"{""martensite"": 0.6241320640741653, ""Fe2Mo"": 0.09453376485561968, ""austenite"": 0.1863818809408846, ""gamma_phase"": 0.006805939529092022, ""Ni3Ti"": 0.08814635060023839}",20250304
Co8.50Mo5.35Ti2.80,1.43E+11,997125631.2,"{""martensite"": 0.6607432284193355, ""Fe2Mo"": 0.09438828082310458, ""austenite"": 0.1098203454325537, ""gamma_phase"": 0.0137063154349092, ""Ni3Ti"": 0.1213418298900969}",20250304
Co8.50Mo5.45Ti2.80,1.43E+11,1015046047,"{""martensite"": 0.6587412184637916, ""Fe2Mo"": 0.0963874199049572, ""austenite"": 0.1097782567007044, ""gamma_phase"": 0.01375025450987535, ""Ni3Ti"": 0.1213428504206714}",20250304
Co8.50Mo5.00Ti2.80,1.49E+11,1036448636,"{""martensite"": 0.667744337021874, ""Fe2Mo"": 0.08740021408182139, ""austenite"": 0.1099636987733476, ""gamma_phase"": 0.01355248314890028, ""Ni3Ti"": 0.1213392669740568}",20250304
Co8.50Mo5.40Ti1.80,1.08E+11,786161938.1,"{""martensite"": 0.6165930504272592, ""Fe2Mo"": 0.0930721285941628, ""austenite"": 0.2054570410554995, ""gamma_phase"": 0.005061856761863748, ""Ni3Ti"": 0.07981592316121476}",20250304
Co8.50Mo5.40Ti2.80,1.41E+11,986400889,"{""martensite"": 0.6597423174551048, ""Fe2Mo"": 0.09538770862666668, ""austenite"": 0.1097993641346167, ""gamma_phase"": 0.01372828565413607, ""Ni3Ti"": 0.1213423241294757}",20250304
Co8.50Mo5.25Ti2.00,1.12E+11,809922074.1,"{""martensite"": 0.6280794558855504, ""Fe2Mo"": 0.09052639359834062, ""austenite"": 0.1865116528819918, ""gamma_phase"": 0.006711621672205053, ""Ni3Ti"": 0.0881708759619121}",20250304
Co8.50Mo5.45Ti2.20,1.16E+11,840367526.8,"{""martensite"": 0.632706458866657, ""Fe2Mo"": 0.09499436513572826, ""austenite"": 0.1672978076018721, ""gamma_phase"": 0.008532522655818907, ""Ni3Ti"": 0.09646884573992381}",20250304
Co8.50Mo5.45Ti1.00,89169601045,636034319.6,"{""martensite"": 0.5823253572137782, ""Fe2Mo"": 0.09224818418065164, ""austenite"": 0.2802959482815225, ""Ni3Ti"": 0.04513051032404756}",20250304
Co8.50Mo5.20Ti2.40,1.42E+11,991040585.6,"{""martensite"": 0.6463020607078137, ""Fe2Mo"": 0.09045476396622129, ""austenite"": 0.1483015704713325, ""gamma_phase"": 0.01015187940531566, ""Ni3Ti"": 0.1047897254493168}",20250304
Co8.50Mo5.30Ti2.60,1.45E+11,1002712258,"{""martensite"": 0.6530035527742738, ""Fe2Mo"": 0.09292101046828413, ""austenite"": 0.1290672390569507, ""gamma_phase"": 0.01193779500223627, ""Ni3Ti"": 0.113070402698255}",20250304
Co8.50Mo5.05Ti2.60,1.42E+11,995866428.8,"{""martensite"": 0.6579874352848691, ""Fe2Mo"": 0.08792637294899885, ""austenite"": 0.1291834164711497, ""gamma_phase"": 0.0118261104378217, ""Ni3Ti"": 0.1130766648571607}",20250304
Co8.50Mo5.35Ti1.20,98473918305,705876745.5,"{""martensite"": 0.5923122707173117, ""Fe2Mo"": 0.09070024194647215, ""austenite"": 0.2623204342238314, ""Ni3Ti"": 0.05466705311238462}",20250304
Co8.50Mo5.25Ti2.80,1.46E+11,1013475288,"{""martensite"": 0.6627444861068611, ""Fe2Mo"": 0.09239027519136157, ""austenite"": 0.1098619303841848, ""gamma_phase"": 0.01366237078197957, ""Ni3Ti"": 0.1213409375356129}",20250304
Co8.50Mo5.20Ti1.40,1.01E+11,731440896.9,"{""martensite"": 0.6035992549177913, ""Fe2Mo"": 0.08814503809391719, ""austenite"": 0.2435741588305141, ""gamma_phase"": 0.001540981864462867, ""Ni3Ti"": 0.06314056629331456}",20250304
Co8.50Mo5.20Ti1.00,89004226576,634436946.7,"{""martensite"": 0.587188529489555, ""Fe2Mo"": 0.08722251338556494, ""austenite"": 0.2804724403273212, ""Ni3Ti"": 0.0451165167975588}",20250304
Co9.85Mo5.40Ti2.40,1.33E+11,943207369.6,"{""martensite"": 0.646062765690916, ""Fe2Mo"": 0.09498559985680953, ""austenite"": 0.1431788357422139, ""gamma_phase"": 0.01194379651924936, ""Ni3Ti"": 0.1038290021908111}",20250307
Co9.85Mo5.10Ti2.20,1.24E+11,880774819.6,"{""martensite"": 0.6438773220774402, ""Fe2Mo"": 0.08854165566616196, ""austenite"": 0.1619507279832069, ""gamma_phase"": 0.01015106325957648, ""Ni3Ti"": 0.09547923101361437}",20250307
Co9.85Mo5.20Ti3.00,1.59E+11,1093249689,"{""martensite"": 0.6746408386682563, ""Fe2Mo"": 0.09233154165496851, ""austenite"": 0.08733311329179726, ""gamma_phase"": 0.01688066330090317, ""Ni3Ti"": 0.1288138430840746}",20250307
Co9.85Mo5.20Ti1.60,1.14E+11,821051080.2,"{""martensite"": 0.6178598575087249, ""Fe2Mo"": 0.0892164544256273, ""austenite"": 0.2173645837673813, ""gamma_phase"": 0.005260233112563734, ""Ni3Ti"": 0.07029887118570295}",20250307
Co9.85Mo5.10Ti2.40,1.31E+11,954077161.1,"{""martensite"": 0.6519956371363768, ""Fe2Mo"": 0.08898796120177688, ""austenite"": 0.1433691065167242, ""gamma_phase"": 0.01181249958631255, ""Ni3Ti"": 0.1038347955588096}",20250307
Co9.85Mo5.30Ti2.00,1.21E+11,873547740.1,"{""martensite"": 0.6318811533080622, ""Fe2Mo"": 0.09209961058072662, ""austenite"": 0.1803407423733865, ""gamma_phase"": 0.008589325841676442, ""Ni3Ti"": 0.08708916789614816}",20250307
Co9.85Mo5.40Ti1.00,99575895602,716723705.1,"{""martensite"": 0.5903814508071752, ""Fe2Mo"": 0.09192537707733088, ""austenite"": 0.2722719046756875, ""gamma_phase"": 0.0005000152752144207, ""Ni3Ti"": 0.04492125216459193}",20250307
Co9.85Mo5.15Ti1.60,1.11E+11,810617359.9,"{""martensite"": 0.6188338495373448, ""Fe2Mo"": 0.08821465024653126, ""austenite"": 0.2174084802118348, ""gamma_phase"": 0.005235883736650363, ""Ni3Ti"": 0.07030713626763868}",20250307
Co9.85Mo5.30Ti1.20,1.09E+11,786977257.7,"{""martensite"": 0.6001295401264787, ""Fe2Mo"": 0.09034911686412653, ""austenite"": 0.2540516495102672, ""gamma_phase"": 0.00205972596148387, ""Ni3Ti"": 0.05340996753764374}",20250307
Co9.85Mo4.95Ti2.40,1.37E+11,965742097.5,"{""martensite"": 0.6549596124589507, ""Fe2Mo"": 0.08599300032517333, ""austenite"": 0.1434624399962236, ""gamma_phase"": 0.01174694732527813, ""Ni3Ti"": 0.1038379998943742}",20250307
Co9.85Mo5.50Ti2.00,1.32E+11,932066364.8,"{""martensite"": 0.6279528822108016, ""Fe2Mo"": 0.09610673271369827, ""austenite"": 0.180187455430417, ""gamma_phase"": 0.008681835230725094, ""Ni3Ti"": 0.0870710944143581}",20250307
Co9.85Mo5.20Ti2.20,1.30E+11,922030228.1,"{""martensite"": 0.6419076254830378, ""Fe2Mo"": 0.09054103145350476, ""austenite"": 0.1618817411823871, ""gamma_phase"": 0.01019597127348213, ""Ni3Ti"": 0.09547363060758822}",20250307
Co9.85Mo5.15Ti1.40,1.05E+11,748409218.6,"{""martensite"": 0.6109085232362742, ""Fe2Mo"": 0.08777590574152418, ""austenite"": 0.2358255239309842, ""gamma_phase"": 0.003605298127409911, ""Ni3Ti"": 0.06188474896380761}",20250307
Co9.85Mo5.15Ti1.20,99563519069,719546221.3,"{""martensite"": 0.6030298088161693, ""Fe2Mo"": 0.0873388629704032, ""austenite"": 0.2542028769139993, ""gamma_phase"": 0.001982505257511224, ""Ni3Ti"": 0.05344594604191701}",20250307
Co9.85Mo4.90Ti2.20,1.23E+11,877031288.1,"{""martensite"": 0.6478146118041073, ""Fe2Mo"": 0.08454633900296024, ""austenite"": 0.1620870066959806, ""gamma_phase"": 0.01006136600002828, ""Ni3Ti"": 0.09549067649692365}",20250307
Co9.85Mo5.50Ti0.80,94015864021,665122675.8,"{""martensite"": 0.5808661872475359, ""Fe2Mo"": 0.0935023673568965, ""austenite"": 0.289932721396676, ""Ni3Ti"": 0.0356987239988916}",20250307
Co9.85Mo5.35Ti2.40,1.26E+11,898126007.2,"{""martensite"": 0.6470520333716676, ""Fe2Mo"": 0.09398527804976371, ""austenite"": 0.1432108821389843, ""gamma_phase"": 0.01192189541552161, ""Ni3Ti"": 0.1038299110240628}",20250307
Co9.85Mo5.35Ti1.00,85078977588,613359896.1,"{""martensite"": 0.5913449114675173, ""Fe2Mo"": 0.09092042231863673, ""austenite"": 0.272326067425717, ""gamma_phase"": 0.0004734725397318329, ""Ni3Ti"": 0.04493512624839716}",20250307
Co9.85Mo5.35Ti2.80,1.50E+11,1046601223,"{""martensite"": 0.6633970074660197, ""Fe2Mo"": 0.09487661660187681, ""austenite"": 0.1059548288730258, ""gamma_phase"": 0.01526098807358322, ""Ni3Ti"": 0.1205105589854945}",20250307
Co9.85Mo5.20Ti2.80,1.49E+11,1030946239,"{""martensite"": 0.6663851605894736, ""Fe2Mo"": 0.09188127985256561, ""austenite"": 0.1060320629163504, ""gamma_phase"": 0.01519868950745821, ""Ni3Ti"": 0.1205028071341522}",20250307
Co9.85Mo4.95Ti2.60,1.45E+11,1002234053,"{""martensite"": 0.6631365265412029, ""Fe2Mo"": 0.08644299990038791, ""austenite"": 0.1248309256928431, ""gamma_phase"": 0.01341735338397878, ""Ni3Ti"": 0.1121721944815872}",20250307
Co9.85Mo5.35Ti1.80,1.08E+11,784969074.1,"{""martensite"": 0.622894493237227, ""Fe2Mo"": 0.0926614139544717, ""austenite"": 0.1987874606958127, ""gamma_phase"": 0.006969064162005731, ""Ni3Ti"": 0.07868756795048279}",20250307
Co9.85Mo5.10Ti1.40,1.06E+11,754827441.1,"{""martensite"": 0.6118786818428248, ""Fe2Mo"": 0.08677372935649884, ""austenite"": 0.2358724070806685, ""gamma_phase"": 0.003580298326076521, ""Ni3Ti"": 0.06189488339393127}",20250307
Co9.85Mo5.25Ti2.80,1.43E+11,1005362643,"{""martensite"": 0.6653893063375729, ""Fe2Mo"": 0.09287944063009913, ""austenite"": 0.1060064354046853, ""gamma_phase"": 0.01521945414332106, ""Ni3Ti"": 0.1205053634843217}",20250307
Co9.85Mo5.00Ti2.00,1.22E+11,869858890.2,"{""martensite"": 0.6377685000884236, ""Fe2Mo"": 0.08609754918734851, ""austenite"": 0.1805661845046607, ""gamma_phase"": 0.008450957423165194, ""Ni3Ti"": 0.08711680879640193}",20250307
Co9.85Mo4.90Ti1.80,1.09E+11,781244630.5,"{""martensite"": 0.6316919727632899, ""Fe2Mo"": 0.08365369767766398, ""austenite"": 0.1991528930812345, ""gamma_phase"": 0.006755923080598252, ""Ni3Ti"": 0.07874551339721336}",20250307
Co9.85Mo5.45Ti1.00,92859788438,676984719.6,"{""martensite"": 0.5894178512971295, ""Fe2Mo"": 0.09293062275981784, ""austenite"": 0.2722175564740602, ""gamma_phase"": 0.0005265868948996347, ""Ni3Ti"": 0.044907382574093}",20250307
Co9.85Mo5.20Ti1.00,1.03E+11,729697140.3,"{""martensite"": 0.5942344608499529, ""Fe2Mo"": 0.08790730222843532, ""austenite"": 0.2724874443396678, ""gamma_phase"": 0.000394016176491321, ""Ni3Ti"": 0.04497677640545263}",20250307
Co9.85Mo4.90Ti2.40,1.35E+11,953476527.1,"{""martensite"": 0.6559472398623857, ""Fe2Mo"": 0.0849952508215204, ""austenite"": 0.1434932851297129, ""gamma_phase"": 0.01172511036462805, ""Ni3Ti"": 0.1038391138217528}",20250307
Co9.85Mo5.00Ti3.00,1.51E+11,1045356790,"{""martensite"": 0.6786362859738618, ""Fe2Mo"": 0.08834432845234941, ""austenite"": 0.08742274016005204, ""gamma_phase"": 0.0167996881075962, ""Ni3Ti"": 0.1287969573061405}",20250307
Co9.85Mo5.30Ti2.20,1.29E+11,922205679.7,"{""martensite"": 0.6399372275223407, ""Fe2Mo"": 0.09254155356226157, ""austenite"": 0.1618121878965993, ""gamma_phase"": 0.01024091973237896, ""Ni3Ti"": 0.09546811128641945}",20250307
Co9.85Mo5.00Ti0.80,90401806405,645671621,"{""martensite"": 0.5905046142739004, ""Fe2Mo"": 0.08345196423811749, ""austenite"": 0.2903707082308627, ""Ni3Ti"": 0.03567271325711942}",20250307
Co9.85Mo5.30Ti1.40,1.01E+11,730775488.4,"{""martensite"": 0.6079971480822597, ""Fe2Mo"": 0.09078416940228258, ""austenite"": 0.2356838461265323, ""gamma_phase"": 0.003680430038949872, ""Ni3Ti"": 0.06185440634997562}",20250307
Co9.85Mo5.40Ti2.00,1.20E+11,860647170.1,"{""martensite"": 0.6299173552101002, ""Fe2Mo"": 0.09410259617352426, ""austenite"": 0.1802643988864009, ""gamma_phase"": 0.00863555366370311, ""Ni3Ti"": 0.0870800960662715}",20250307
Co9.85Mo4.95Ti1.60,1.11E+11,784691704.1,"{""martensite"": 0.6227282591656664, ""Fe2Mo"": 0.08421031587457846, ""austenite"": 0.2175824255786434, ""gamma_phase"": 0.005138674733994555, ""Ni3Ti"": 0.07034032464711716}",20250307
Co9.85Mo5.40Ti1.60,1.12E+11,797134731.4,"{""martensite"": 0.6139623300905617, ""Fe2Mo"": 0.09322655741623008, ""austenite"": 0.2171873531515041, ""gamma_phase"": 0.005357822506774523, ""Ni3Ti"": 0.07026593683492957}",20250307
Co9.85Mo5.15Ti2.60,1.38E+11,990170786.5,"{""martensite"": 0.6591699670672673, ""Fe2Mo"": 0.0904342519180619, ""austenite"": 0.1247182082375431, ""gamma_phase"": 0.01350253759892985, ""Ni3Ti"": 0.1121750351781978}",20250307
Co9.85Mo4.90Ti3.00,1.47E+11,1040602039,"{""martensite"": 0.6806327845276553, ""Fe2Mo"": 0.08635242339432113, ""austenite"": 0.08746690534136788, ""gamma_phase"": 0.01675919201846038, ""Ni3Ti"": 0.1287886947181953}",20250307
Co9.85Mo5.45Ti1.80,1.15E+11,832006887.8,"{""martensite"": 0.6209377139536008, ""Fe2Mo"": 0.09466629610649399, ""austenite"": 0.1987045255205474, ""gamma_phase"": 0.007016606210711977, ""Ni3Ti"": 0.07867485820864586}",20250307
Co9.85Mo5.10Ti2.80,1.48E+11,1030813053,"{""martensite"": 0.6683762788598496, ""Fe2Mo"": 0.08988581210125075, ""austenite"": 0.1060829670488999, ""gamma_phase"": 0.01515716465548565, ""Ni3Ti"": 0.1204977773345142}",20250307
Co9.85Mo5.30Ti2.80,1.49E+11,1032847790,"{""martensite"": 0.6643932553055731, ""Fe2Mo"": 0.0938778861722799, ""austenite"": 0.1059806907645826, ""gamma_phase"": 0.01524022031600007, ""Ni3Ti"": 0.1205079474415643}",20250307
Co9.85Mo5.35Ti1.40,1.21E+11,849845487.8,"{""martensite"": 0.6070263898089314, ""Fe2Mo"": 0.09178750256620272, ""austenite"": 0.2356362769205763, ""gamma_phase"": 0.003705518592191473, ""Ni3Ti"": 0.06184431211209815}",20250307
Co9.85Mo5.40Ti1.80,1.16E+11,825148577.9,"{""martensite"": 0.6219161847214315, ""Fe2Mo"": 0.09366371083994639, ""austenite"": 0.1987460718953319, ""gamma_phase"": 0.006992826952047199, ""Ni3Ti"": 0.07868120559124295}",20250307
Co9.85Mo4.90Ti1.60,1.18E+11,837193078.4,"{""martensite"": 0.623701472074955, ""Fe2Mo"": 0.08320995221525876, ""austenite"": 0.2176255025654207, ""gamma_phase"": 0.005114419050558741, ""Ni3Ti"": 0.07034865409380678}",20250307
Co9.85Mo5.15Ti3.00,1.60E+11,1092875465,"{""martensite"": 0.6756400068437024, ""Fe2Mo"": 0.0913343126672782, ""austenite"": 0.0873556823625011, ""gamma_phase"": 0.01686042153665585, ""Ni3Ti"": 0.1288095765898624}",20250307
Co9.85Mo5.25Ti1.60,1.12E+11,802761382.4,"{""martensite"": 0.6168857095785065, ""Fe2Mo"": 0.09021854710084821, ""austenite"": 0.217320522985473, ""gamma_phase"": 0.005284601563716762, ""Ni3Ti"": 0.07029061877145545}",20250307
Co9.85Mo4.95Ti2.20,1.24E+11,882314863,"{""martensite"": 0.6468305522588111, ""Fe2Mo"": 0.08554473912062031, ""austenite"": 0.1620531485194809, ""gamma_phase"": 0.01008377566745662, ""Ni3Ti"": 0.09548778443363097}",20250307
Co9.85Mo5.05Ti1.00,1.10E+11,776094776.6,"{""martensite"": 0.5971227623294973, ""Fe2Mo"": 0.08489679557677862, ""austenite"": 0.2726471571772027, ""gamma_phase"": 0.0003148145350887787, ""Ni3Ti"": 0.04501847038143258}",20250307
Co9.85Mo4.90Ti2.80,1.46E+11,1032305244,"{""martensite"": 0.6723561551823808, ""Fe2Mo"": 0.08589828839224364, ""austenite"": 0.1061833752398506, ""gamma_phase"": 0.01507413131382366, ""Ni3Ti"": 0.1204880498717013}",20250307
Co9.85Mo5.20Ti2.40,1.29E+11,913020056.7,"{""martensite"": 0.6500187424686422, ""Fe2Mo"": 0.09098603000641173, ""austenite"": 0.143306217741099, ""gamma_phase"": 0.011856236261612, ""Ni3Ti"": 0.1038327735222352}",20250307
Co9.85Mo5.30Ti3.00,1.54E+11,1086396012,"{""martensite"": 0.6726418894346873, ""Fe2Mo"": 0.09432685172940435, ""austenite"": 0.08728764975141898, ""gamma_phase"": 0.01692114297829047, ""Ni3Ti"": 0.1288224661061989}",20250307
Co9.85Mo5.45Ti2.00,1.33E+11,943452700.6,"{""martensite"": 0.6289352030859389, ""Fe2Mo"": 0.09510452051059728, ""austenite"": 0.1802260022255215, ""gamma_phase"": 0.008658687682144985, ""Ni3Ti"": 0.08707558649579734}",20250307
