sid,elastic,yield,phase_ratio_dict,ds
Co8.50Mo5.50Ti1.60,1.06E+11,768089987.3,"{""martensite"": 0.6061590979456973, ""Fe2Mo"": 0.09462207290463254, ""austenite"": 0.2243771222774531, ""gamma_phase"": 0.003397115038711635, ""Ni3Ti"": 0.07144459183350536}",20250304
Co8.50Mo4.95Ti2.40,1.35E+11,948336447.7,"{""martensite"": 0.6512670381607863, ""Fe2Mo"": 0.08545978996271847, ""austenite"": 0.1484304116928682, ""gamma_phase"": 0.0100383134518949, ""Ni3Ti"": 0.104804446731732}",20250304
Co8.50Mo4.95Ti1.60,1.12E+11,817429135.6,"{""martensite"": 0.6169305324996672, ""Fe2Mo"": 0.08359543498284576, ""austenite"": 0.2247961399446956, ""gamma_phase"": 0.003127806359330583, ""Ni3Ti"": 0.07155008621346085}",20250304
Co8.50Mo5.30Ti1.80,1.23E+11,867618297.6,"{""martensite"": 0.6185595126060085, ""Fe2Mo"": 0.09106715006440513, ""austenite"": 0.2055279745076659, ""gamma_phase"": 0.005013783326963338, ""Ni3Ti"": 0.07983157949495708}",20250304
Co8.50Mo4.90Ti1.80,1.19E+11,853153291.3,"{""martensite"": 0.6264194696869331, ""Fe2Mo"": 0.0830586819378671, ""austenite"": 0.2058048703900705, ""gamma_phase"": 0.004821921618699924, ""Ni3Ti"": 0.0798950563664294}",20250304
Co8.50Mo4.95Ti3.00,1.55E+11,1065508585,"{""martensite"": 0.6775589713145364, ""Fe2Mo"": 0.08687742551474792, ""austenite"": 0.09069476475506717, ""gamma_phase"": 0.01528535122146709, ""Ni3Ti"": 0.1295834871941815}",20250304
Co8.50Mo5.30Ti1.20,99515067035,726156815.4,"{""martensite"": 0.5932887393639744, ""Fe2Mo"": 0.08969578881831863, ""austenite"": 0.2623526277212959, ""Ni3Ti"": 0.05466284409641096}",20250304
Co8.50Mo5.20Ti1.20,97736972080,689692437.9,"{""martensite"": 0.5952412920682213, ""Fe2Mo"": 0.08768774667799947, ""austenite"": 0.2624164530139808, ""Ni3Ti"": 0.05465450823979848}",20250304
Co8.50Mo5.20Ti2.80,1.34E+11,974801000,"{""martensite"": 0.6637448327494616, ""Fe2Mo"": 0.09139169713916322, ""austenite"": 0.1098825344203321, ""gamma_phase"": 0.01364039628699625, ""Ni3Ti"": 0.1213405394040468}",20250304
Co8.50Mo5.50Ti1.40,98816128431,714263479.3,"{""martensite"": 0.5977440415945637, ""Fe2Mo"": 0.09416778130769282, ""austenite"": 0.243324174763597, ""gamma_phase"": 0.001691088199268433, ""Ni3Ti"": 0.06307291413487805}",20250304
Co8.50Mo5.40Ti3.00,1.41E+11,1015073805,"{""martensite"": 0.668527638905756, ""Fe2Mo"": 0.09585642172373403, ""austenite"": 0.0905346646318777, ""gamma_phase"": 0.01548008230760957, ""Ni3Ti"": 0.1296011924310227}",20250304
Co8.50Mo5.40Ti1.40,1.05E+11,759373420.6,"{""martensite"": 0.5996963068877974, ""Fe2Mo"": 0.09215904899674125, ""austenite"": 0.2434082584438391, ""gamma_phase"": 0.001640987021592481, ""Ni3Ti"": 0.06309539865002965}",20250304
Co8.50Mo5.05Ti2.00,1.20E+11,842299313.5,"{""martensite"": 0.632024366273615, ""Fe2Mo"": 0.08652359260821178, ""austenite"": 0.1866388272247486, ""gamma_phase"": 0.00661743666731232, ""Ni3Ti"": 0.0881957772261123}",20250304
Co8.50Mo5.15Ti1.80,1.07E+11,770271412.5,"{""martensite"": 0.6215081020887998, ""Fe2Mo"": 0.08806182988864847, ""austenite"": 0.2056330895650599, ""gamma_phase"": 0.004941755200162642, ""Ni3Ti"": 0.0798552232573291}",20250304
Co8.50Mo5.25Ti1.40,1.09E+11,777184194.7,"{""martensite"": 0.6026237159080373, ""Fe2Mo"": 0.0891481094125085, ""austenite"": 0.2435329664852305, ""gamma_phase"": 0.001565958763943019, ""Ni3Ti"": 0.06312924943028066}",20250304
Co8.50Mo5.05Ti3.00,1.53E+11,1057930766,"{""martensite"": 0.6755533862149177, ""Fe2Mo"": 0.08887078217654489, ""austenite"": 0.09065999664261291, ""gamma_phase"": 0.01532865134149462, ""Ni3Ti"": 0.12958718362443}",20250304
Co8.50Mo5.35Ti2.60,1.39E+11,980317708.1,"{""martensite"": 0.6520062371994025, ""Fe2Mo"": 0.09392078914459645, ""austenite"": 0.1290435989482271, ""gamma_phase"": 0.01196013456361145, ""Ni3Ti"": 0.1130692401441624}",20250304
Co8.50Mo4.95Ti2.20,1.20E+11,874945731.6,"{""martensite"": 0.6426057432757049, ""Fe2Mo"": 0.08499092180103696, ""austenite"": 0.1675879430014083, ""gamma_phase"": 0.008301252047500087, ""Ni3Ti"": 0.09651413987434966}",20250304
Co8.50Mo5.10Ti2.80,1.36E+11,975811187.7,"{""martensite"": 0.665744961428103, ""Fe2Mo"": 0.0893953900032242, ""austenite"": 0.1099233665711908, ""gamma_phase"": 0.01359644280898229, ""Ni3Ti"": 0.1213398391884997}",20250304
Co8.50Mo5.50Ti3.00,1.53E+11,1086071639,"{""martensite"": 0.6665185122645843, ""Fe2Mo"": 0.09785486272182538, ""austenite"": 0.09049780859380908, ""gamma_phase"": 0.0155233148296972, ""Ni3Ti"": 0.1296055015900842}",20250304
Co8.50Mo5.00Ti3.00,1.50E+11,1059832216,"{""martensite"": 0.6765562772105257, ""Fe2Mo"": 0.08787396286129359, ""austenite"": 0.09067743829662535, ""gamma_phase"": 0.01530700320349162, ""Ni3Ti"": 0.1295853184280637}",20250304
Co8.50Mo5.20Ti2.00,1.25E+11,891212900.9,"{""martensite"": 0.6290659162858125, ""Fe2Mo"": 0.08952526518394789, ""austenite"": 0.1865436894087121, ""gamma_phase"": 0.006688063145241803, ""Ni3Ti"": 0.08817706597628565}",20250304
Co8.50Mo4.90Ti2.60,1.36E+11,955415485.6,"{""martensite"": 0.6609756066878946, ""Fe2Mo"": 0.08493299105191794, ""austenite"": 0.129251511782813, ""gamma_phase"": 0.01175910885467357, ""Ni3Ti"": 0.1130807816227009}",20250304
Co8.50Mo5.30Ti1.40,1.02E+11,739371402.6,"{""martensite"": 0.6016480448517343, ""Fe2Mo"": 0.09015146825389576, ""austenite"": 0.2434915858048517, ""gamma_phase"": 0.001590951854348157, ""Ni3Ti"": 0.06311794923517004}",20250304
Co8.50Mo4.90Ti1.20,1.04E+11,732570862.7,"{""martensite"": 0.6010958705519084, ""Fe2Mo"": 0.08167052480491449, ""austenite"": 0.2626034483429305, ""Ni3Ti"": 0.05463015630024674}",20250304
Co8.50Mo5.20Ti3.00,1.56E+11,1102911180,"{""martensite"": 0.6725435321938315, ""Fe2Mo"": 0.0918629330303008, ""austenite"": 0.09060697872456754, ""gamma_phase"": 0.01539357288332604, ""Ni3Ti"": 0.1295929831679742}",20250304
Co8.50Mo5.25Ti2.40,1.44E+11,1000630669,"{""martensite"": 0.6453085508226583, ""Fe2Mo"": 0.09145461112425318, ""austenite"": 0.1482753711010697, ""gamma_phase"": 0.01017460216659438, ""Ni3Ti"": 0.1047868647854246}",20250304
Co8.50Mo5.35Ti1.80,1.10E+11,795323778.5,"{""martensite"": 0.6175763550554689, ""Fe2Mo"": 0.09206949607467639, ""austenite"": 0.2054925936161441, ""gamma_phase"": 0.005037814520914228, ""Ni3Ti"": 0.07982374073279631}",20250304
Co8.50Mo4.95Ti2.00,1.29E+11,912235366.3,"{""martensite"": 0.6339958895617644, ""Fe2Mo"": 0.08452390360216383, ""austenite"": 0.186701444976998, ""gamma_phase"": 0.006570392562699549, ""Ni3Ti"": 0.08820836929637406}",20250304
Co8.50Mo5.00Ti2.40,1.30E+11,920671400.2,"{""martensite"": 0.6502743857944842, ""Fe2Mo"": 0.08645821690741122, ""austenite"": 0.148404930145097, ""gamma_phase"": 0.01006102042831082, ""Ni3Ti"": 0.1048014467246968}",20250304
Co8.50Mo5.35Ti2.00,1.36E+11,957535379.8,"{""martensite"": 0.6261060698877459, ""Fe2Mo"": 0.0925295074699696, ""austenite"": 0.1864470925441376, ""gamma_phase"": 0.006758763706153405, ""Ni3Ti"": 0.08815856639199368}",20250304
Co8.50Mo5.45Ti3.00,1.47E+11,1049471487,"{""martensite"": 0.667523173893635, ""Fe2Mo"": 0.09685550074302277, ""austenite"": 0.09051629500951275, ""gamma_phase"": 0.01550170040045429, ""Ni3Ti"": 0.1296033299533752}",20250304
Co8.50Mo5.50Ti1.80,1.19E+11,846371380.3,"{""martensite"": 0.614626000214453, ""Fe2Mo"": 0.0950782536421228, ""austenite"": 0.2053854199711241, ""gamma_phase"": 0.005109974719047302, ""Ni3Ti"": 0.07980035145325286}",20250304
Co8.50Mo5.50Ti1.00,93721891345,660049201.8,"{""martensite"": 0.5813523591214069, ""Fe2Mo"": 0.09325418550536327, ""austenite"": 0.2802600657758992, ""Ni3Ti"": 0.04513338959733073}",20250304
Co8.50Mo4.90Ti2.00,1.19E+11,850313965.5,"{""martensite"": 0.6349814179840676, ""Fe2Mo"": 0.08352448655984067, ""austenite"": 0.1867325123210553, ""gamma_phase"": 0.006546882365428326, ""Ni3Ti"": 0.08821470076960823}",20250304
Co8.50Mo5.10Ti1.20,1.03E+11,738797417.7,"{""martensite"": 0.5971933317236611, ""Fe2Mo"": 0.08568085591544874, ""austenite"": 0.2624795305736878, ""Ni3Ti"": 0.05464628178720243}",20250304
Co8.50Mo5.40Ti0.80,86503866978,621777741.4,"{""martensite"": 0.5752936243574855, ""Fe2Mo"": 0.0907808630092471, ""austenite"": 0.2983527812802224, ""Ni3Ti"": 0.03557273135304507}",20250304
Co8.50Mo5.50Ti2.40,1.40E+11,978303589,"{""martensite"": 0.6403384325766892, ""Fe2Mo"": 0.09645811503001427, ""austenite"": 0.148142206767755, ""gamma_phase"": 0.01028826661857523, ""Ni3Ti"": 0.1047729790069663}",20250304
Co8.50Mo5.25Ti2.60,1.42E+11,996786560.2,"{""martensite"": 0.6540006887244898, ""Fe2Mo"": 0.09192151566742968, ""austenite"": 0.1290907440181382, ""gamma_phase"": 0.01191545637774215, ""Ni3Ti"": 0.1130715952122002}",20250304
Co8.50Mo5.35Ti2.40,1.35E+11,940445008,"{""martensite"": 0.6433210171189259, ""Fe2Mo"": 0.09345515871723646, ""austenite"": 0.1482225395088189, ""gamma_phase"": 0.01022005766367933, ""Ni3Ti"": 0.1047812269913396}",20250304
